t,pre,post,drop_pct,since_prev_s,recovery_s,r1_drop,r2_ping,r3_slow,anomalous
2021-11-05 04:22:30+00:00,219.18444999999997,230.84691111111113,-0.05320843294819116,920.0,0.0,0,0,0,0
2021-11-05 04:25:10+00:00,229.25025000000002,227.81623333333334,0.006255245813981353,160.0,0.0,0,0,0,0
2021-11-05 04:46:30+00:00,226.04724166666665,236.33704999999998,-0.04552061001702849,1280.0,0.0,0,0,0,0
2021-11-05 04:50:40+00:00,226.82359166666666,222.21545555555556,0.02031594719601776,250.0,0.0,0,0,0,0
2021-11-05 05:10:30+00:00,218.1850083333333,220.34879444444445,-0.009917208004527191,1190.0,0.0,0,0,0,0
2021-11-05 05:12:10+00:00,216.66805833333333,226.83353333333335,-0.04691727556980699,100.0,0.0,0,0,0,0
2021-11-05 05:34:40+00:00,217.70795,230.6075888888889,-0.059252034153501915,1350.0,0.0,0,0,0,0
2021-11-05 05:39:40+00:00,221.54720833333337,215.16522222222224,0.028806438858435014,300.0,0.0,0,0,0,0
2021-11-05 05:44:20+00:00,218.69026666666664,220.68275000000003,-0.009110983143892621,280.0,0.0,0,0,0,0
2021-11-05 05:48:10+00:00,217.93898333333334,220.39463888888886,-0.011267628755520289,230.0,0.0,0,0,0,0
2021-11-05 05:58:30+00:00,226.34304999999998,236.72027222222226,-0.045847319907645886,620.0,0.0,0,0,0,0
2021-11-05 06:02:10+00:00,236.44860000000003,230.90832777777774,0.023431190636029497,220.0,0.0,0,1,0,1
2021-11-05 06:22:30+00:00,222.3118083333333,232.6991611111111,-0.04672425120218112,1220.0,0.0,0,0,0,0
2021-11-05 06:27:10+00:00,223.44235,223.59031666666667,-0.000662214064015446,280.0,0.0,0,0,0,0
2021-11-05 06:32:30+00:00,223.38751666666667,220.8311,0.01144386537266225,320.0,0.0,0,0,0,0
2021-11-05 06:35:10+00:00,219.92859166666665,223.0435388888889,-0.014163448229338871,160.0,0.0,0,0,0,0
2021-11-05 06:46:30+00:00,228.4358,230.77731666666665,-0.010250217639558464,680.0,0.0,0,0,0,0
